# ARQUIVO DE DEFINIÇÃO DE APPS - V3RTECH SCRIPTS
# Separador: | (Pipe)
# Colunas: ATIVO|CATEGORIA|NOME|DESCRICAO|PKG_DEBIAN|PKG_ARCH|PKG_FEDORA|FLATPAK_ID|METODO
# METODO: native (tenta repo, fallback flatpak), flatpak (força), pipx (python), custom (script proprio)

# --- NAVEGADORES (Browser Wars) ---
TRUE|Internet|Wavebox|Navegador focado em trabalho|wavebox|wavebox|wavebox|io.wavebox.Wavebox|native
TRUE|Internet|Google Chrome|Navegador do Google|google-chrome-stable|google-chrome|google-chrome-stable|com.google.Chrome|native
TRUE|Internet|Firefox|Navegador Mozilla|firefox|firefox|firefox|org.mozilla.firefox|native
TRUE|Internet|Brave|Navegador Privacidade|brave-browser|brave-bin|brave-browser|com.brave.Browser|native
TRUE|Internet|Vivaldi|Navegador Power User|vivaldi-stable|vivaldi|vivaldi|com.vivaldi.Vivaldi|native
TRUE|Internet|Opera|Navegador com VPN|opera-stable|opera|opera-stable|com.opera.Opera|native
TRUE|Internet|Microsoft Edge|Navegador Microsoft|microsoft-edge-stable|microsoft-edge-stable-bin|microsoft-edge-stable|com.microsoft.Edge|native

# --- NUVEM E TRANSFERÊNCIA ---
TRUE|Nuvem|Nextcloud|Sync Nextcloud|nextcloud-desktop|nextcloud-client|nextcloud-client|com.nextcloud.desktopclient.nextcloud|native
TRUE|Nuvem|RClone|Cloud CLI|rclone|rclone|rclone||native
FALSE|Nuvem|Filezilla|Cliente FTP|filezilla|filezilla|filezilla|org.filezilla.FileZilla|native

# --- COMUNICAÇÃO ---
FALSE|Comunicação|Discord|Chat e Voz|discord|discord|discord|com.discordapp.Discord|flatpak
FALSE|Comunicação|MailViewer|Visualizador EML/MSG||||io.github.alescdb.mailviewer|flatpak

# --- DESENVOLVIMENTO & TERMINAL ---
FALSE|Dev|VS Code|Editor Microsoft|code|visual-studio-code-bin|code|com.visualstudio.code|native
TRUE|Dev|Antigravity|Ambiente Google (VSCode)|antigravity-auto-updater|||com.google.Antigravity|native
TRUE|Dev|Docker|Containers|docker.io docker-compose|docker docker-compose|docker docker-compose||native
